epoch,spike_count,isi_mean,isi_std,v_var,dvdt_max,label
0,1,0.0,0.0,3.4261072440015886e-10,0.0070017094017094,0
1,1,0.0,0.0,2.860046596095702e-10,0.0040009768009768,0
2,2,0.6484375,0.0,3.6076910218393725e-10,0.0065015873015873,0
3,2,0.0625,0.0,2.2684157536528464e-10,0.0060014652014652,0
4,1,0.0,0.0,2.821981301834781e-10,0.0037509157509157,0
5,2,0.13671875,0.0,2.907222890714334e-10,0.0047511599511599,0
6,0,0.0,0.0,2.0507324408745246e-10,0.0047511599511599,0
7,0,0.0,0.0,2.0671412244357523e-10,0.0037509157509157,0
8,1,0.0,0.0,3.2756614315680236e-10,0.0042510378510378,0
9,0,0.0,0.0,2.836913582052232e-10,0.0037509157509157,0
10,1,0.0,0.0,2.4339680450171513e-10,0.0070017094017094,0
11,0,0.0,0.0,2.5918365934713514e-10,0.0040009768009768,0
12,0,0.0,0.0,2.502246479127345e-10,0.0040009768009768,0
13,0,0.0,0.0,2.1670249685967682e-10,0.0035008547008547,0
14,1,0.0,0.0,4.0208038891646934e-10,0.0037509157509157,0
15,0,0.0,0.0,1.3198684905558758e-10,0.0025006105006105,0
16,0,0.0,0.0,1.390761761640882e-10,0.0027506715506715,0
17,2,0.08984375,0.0,4.222227975948213e-10,0.0045010989010989,0
18,0,0.0,0.0,1.5135267943332268e-10,0.0027506715506715,0
19,0,0.0,0.0,2.3154839111262237e-10,0.0027506715506715,0
20,0,0.0,0.0,2.2914702581633952e-10,0.0025006105006105,0
21,3,0.310546875,0.283203125,4.986983439739992e-10,0.0037509157509157,0
22,1,0.0,0.0,4.203928302843709e-10,0.0037509157509157,0
23,1,0.0,0.0,3.2298296263497723e-10,0.0037509157509157,0
24,0,0.0,0.0,2.5265867273794234e-10,0.0032507936507936,0
25,0,0.0,0.0,1.9866660413857349e-10,0.0032507936507936,0
26,1,0.0,0.0,3.5345859439409106e-10,0.0037509157509157,0
27,1,0.0,0.0,3.2886642408305635e-10,0.0042510378510378,0
28,2,1.078125,0.0,3.972217189167881e-10,0.0047511599511599,0
29,0,0.0,0.0,1.526496372625178e-10,0.0037509157509157,0
30,0,0.0,0.0,3.5551130020137557e-10,0.0037509157509157,0
31,1,0.0,0.0,2.720434880820068e-10,0.0027506715506715,0
32,2,0.04296875,0.0,3.7331787010737614e-10,0.005001221001221,0
33,0,0.0,0.0,2.118300613035045e-10,0.0027506715506715,0
34,0,0.0,0.0,2.8895159518442477e-10,0.0045010989010989,0
35,0,0.0,0.0,3.285861920033737e-10,0.0030007326007326,0
36,2,0.51953125,0.0,5.778867641508581e-10,0.0042510378510378,0
37,3,0.291015625,0.009765625,3.7135753038340013e-10,0.0072517704517704,0
38,1,0.0,0.0,2.7920875141606877e-10,0.0055013431013431,0
39,0,0.0,0.0,1.6528823799921838e-10,0.0027506715506715,0
40,2,0.98828125,0.0,3.4904291543485673e-10,0.005251282051282,0
41,0,0.0,0.0,1.843350401400424e-10,0.005251282051282,0
42,3,0.447265625,0.384765625,4.5497739694168256e-10,0.0075018315018315,0
43,0,0.0,0.0,1.4567525364264427e-10,0.0040009768009768,0
44,0,0.0,0.0,1.9765236434228248e-10,0.0045010989010989,0
45,0,0.0,0.0,1.7675489559969007e-10,0.0030007326007326,0
46,0,0.0,0.0,1.8662845027886236e-10,0.0030007326007326,0
47,0,0.0,0.0,1.959288962869692e-10,0.0030007326007326,0
48,2,0.046875,0.0,4.684557912579889e-10,0.0035008547008547,0
49,0,0.0,0.0,1.5172248954336006e-10,0.0032507936507936,0
50,0,0.0,0.0,2.0791341834475128e-10,0.0032507936507936,0
51,2,0.0546875,0.0,4.5472712369211036e-10,0.005251282051282,0
52,0,0.0,0.0,1.5418633124820164e-10,0.0030007326007326,0
53,0,0.0,0.0,2.7090446289736577e-10,0.0045010989010989,0
54,0,0.0,0.0,2.3030860292800818e-10,0.0037509157509157,0
55,1,0.0,0.0,3.6133934636717647e-10,0.0057514041514041,0
56,0,0.0,0.0,2.475493982709098e-10,0.005001221001221,0
57,0,0.0,0.0,2.0301861648909775e-10,0.0032507936507936,0
58,3,0.08984375,0.03125,5.236247312229596e-10,0.005251282051282,0
59,1,0.0,0.0,2.731948156413014e-10,0.0045010989010989,0
60,0,0.0,0.0,3.3408476747283114e-10,0.0047511599511599,0
61,2,0.05078125,0.0,4.079912941233912e-10,0.0037509157509157,0
62,0,0.0,0.0,3.0432981100477655e-10,0.0055013431013431,0
63,0,0.0,0.0,2.755445255230625e-10,0.0047511599511599,0
64,1,0.0,0.0,1.853427392951345e-10,0.0037509157509157,0
65,0,0.0,0.0,2.392429550167645e-10,0.0030007326007326,0
66,2,0.01171875,0.0,2.7526543996646147e-10,0.0030007326007326,0
67,1,0.0,0.0,3.163883911741197e-10,0.0037509157509157,0
68,1,0.0,0.0,3.870025366652112e-10,0.0035008547008547,0
69,0,0.0,0.0,2.321081273208247e-10,0.0035008547008547,0
70,4,0.4557291666666667,0.4446991084902396,4.0371973129563834e-10,0.0055013431013431,0
71,0,0.0,0.0,3.8291611001697137e-10,0.0040009768009768,0
72,4,0.1223958333333333,0.0798210006458026,1.3317204818249347e-09,0.0040009768009768,0
73,1,0.0,0.0,9.162068716015743e-10,0.0042510378510378,0
74,6,0.18515625,0.2565618338907309,1.0515613537680987e-09,0.0047511599511599,0
75,3,0.07421875,0.01171875,6.994445335165485e-10,0.0047511599511599,0
76,2,0.78515625,0.0,3.395302498242201e-10,0.0047511599511599,0
77,0,0.0,0.0,3.9047559166356374e-10,0.0037509157509157,0
78,5,0.181640625,0.2522103822293937,5.632906481406937e-10,0.0042510378510378,0
79,0,0.0,0.0,2.6672616517260803e-10,0.0030007326007325,0
80,0,0.0,0.0,3.1586358570247065e-10,0.0040009768009768,0
81,0,0.0,0.0,4.0180076467600777e-10,0.0035008547008547,0
82,0,0.0,0.0,2.882762166544789e-10,0.0047511599511599,0
83,4,0.0963541666666666,0.0508646483974599,5.579602949054787e-10,0.0037509157509157,0
84,4,0.4739583333333333,0.4921082663296062,5.228692089097307e-10,0.0045010989010989,0
85,4,0.15625,0.0828640759202985,7.601621865873238e-10,0.0040009768009768,0
86,0,0.0,0.0,2.4487106211615416e-10,0.0032507936507936,0
87,1,0.0,0.0,3.4853602848108336e-10,0.0040009768009767,0
88,1,0.0,0.0,3.6944656758680616e-10,0.0030007326007326,0
89,2,0.21875,0.0,4.776487043203074e-10,0.0045010989010989,0
90,1,0.0,0.0,3.791754346928339e-10,0.0037509157509157,0
91,5,0.236328125,0.2202879114159822,1.2798806918326721e-09,0.0065015873015873,0
92,4,0.125,0.0344990658840931,1.0701702896446627e-09,0.0042510378510378,0
93,0,0.0,0.0,2.0032694426903728e-10,0.0027506715506715,0
94,1,0.0,0.0,3.6580832955031655e-10,0.005001221001221,0
95,1,0.0,0.0,3.9562800451651176e-10,0.005251282051282,0
96,0,0.0,0.0,3.0578924753353834e-10,0.0037509157509157,0
97,0,0.0,0.0,4.0591265869568285e-10,0.0042510378510378,0
98,1,0.0,0.0,5.008750635414011e-10,0.005001221001221,0
99,2,0.3203125,0.0,3.941494738287464e-10,0.0032507936507936,0
100,3,0.845703125,0.783203125,5.61239616621084e-10,0.0032507936507936,0
101,1,0.0,0.0,4.879930541345947e-10,0.0035008547008547,0
102,1,0.0,0.0,2.64113959741249e-10,0.0037509157509157,0
103,0,0.0,0.0,2.2410249896549401e-10,0.0030007326007326,0
104,0,0.0,0.0,3.30417436868115e-10,0.0042510378510378,0
105,6,0.26796875,0.1244273994519494,1.0869237071249576e-09,0.0057514041514041,0
106,5,0.2685546875,0.3073349399593613,7.653051870317351e-10,0.005001221001221,0
107,0,0.0,0.0,1.8218946232339087e-10,0.0027506715506715,0
108,3,0.146484375,0.076171875,6.006483411134421e-10,0.0047511599511599,0
109,0,0.0,0.0,6.441526717182051e-10,0.0037509157509157,0
110,4,0.1510416666666666,0.0954880839442661,7.185712938131092e-10,0.005001221001221,0
111,2,0.015625,0.0,4.817607548494823e-10,0.005001221001221,0
112,1,0.0,0.0,4.683598436549587e-10,0.0040009768009768,0
113,6,0.31484375,0.4617749278429644,1.8621266641312999e-09,0.0082520146520146,0
114,12,0.1246448863636363,0.07322060847747,1.6728336905709984e-09,0.0095023199023199,0
115,4,0.296875,0.1772077534720899,6.735270844363248e-10,0.0047511599511599,0
116,3,0.16015625,0.0703125,4.112253045188599e-10,0.0047511599511599,0
117,6,0.21953125,0.2418647042382372,9.47499774131313e-10,0.0055013431013431,0
118,2,0.46875,0.0,5.023961939312213e-10,0.0047511599511599,0
119,6,0.0578125,0.0366771706072046,1.2654439643693876e-09,0.0045010989010989,0
120,2,0.08984375,0.0,3.1023926030937244e-10,0.005001221001221,0
121,7,0.2701822916666667,0.1651812160023308,1.4219122441653486e-09,0.005001221001221,0
122,2,0.5703125,0.0,4.530978233992341e-10,0.0042510378510378,0
123,1,0.0,0.0,5.262685333745456e-10,0.005251282051282,0
124,9,0.14306640625,0.0935858242646603,9.74840458728966e-10,0.0057514041514041,0
125,3,0.837890625,0.189453125,5.707407005287184e-10,0.0037509157509157,0
126,3,0.794921875,0.423828125,6.464057497228425e-10,0.0057514041514041,0
127,5,0.3662109375,0.2688279859370099,7.082016149381074e-10,0.0055013431013431,0
128,2,1.34375,0.0,3.5263171102835995e-10,0.0035008547008547,0
129,4,0.1953125,0.1602038801125771,7.059291697927802e-10,0.0057514041514041,0
130,8,0.2154017857142857,0.2332415727480243,1.3835917302267031e-09,0.0080019536019536,0
131,0,0.0,0.0,2.6404515015757283e-10,0.0040009768009768,0
132,1,0.0,0.0,4.805928773204985e-10,0.0057514041514041,0
133,1,0.0,0.0,5.702729773475106e-10,0.005251282051282,0
134,0,0.0,0.0,2.3945841400196936e-10,0.0037509157509157,0
135,2,0.44140625,0.0,3.5329269432405875e-10,0.0045010989010989,0
136,3,0.23046875,0.05859375,5.299090790162217e-10,0.005001221001221,1
137,1,0.0,0.0,3.3462342585511076e-10,0.0037509157509157,1
138,1,0.0,0.0,5.584388099626765e-10,0.0047511599511599,1
139,2,0.1953125,0.0,5.27168746900675e-10,0.005001221001221,1
140,1,0.0,0.0,4.131644499447269e-10,0.0030007326007326,1
141,6,0.3265625,0.1264467062886574,8.009440344390548e-10,0.0055013431013431,1
142,8,0.2583705357142857,0.2391754351756344,1.1247216867995823e-09,0.0065015873015872,1
143,5,0.3056640625,0.2313010494487092,8.90059011419259e-10,0.0072517704517704,1
144,4,0.1484375,0.1160097062884179,6.030570477972033e-10,0.0062515262515262,1
145,11,0.190625,0.0975280408395452,1.4671145172178971e-09,0.0065015873015873,1
146,2,0.08984375,0.0,6.191200727548167e-10,0.0057514041514041,1
147,8,0.2114955357142857,0.2038045442360781,1.2300343233049848e-09,0.0067516483516483,1
