epoch,spike_count,isi_mean,isi_std,v_var,dvdt_max,label
0,0,0.0,0.0,2.596395310466395e-10,0.005701391941391941,0
1,0,0.0,0.0,2.6356119905227047e-10,0.004701147741147741,0
2,1,0.0,0.0,1.902838384079799e-10,0.005301294261294261,0
3,1,0.0,0.0,2.7311209767711595e-10,0.006201514041514042,0
4,0,0.0,0.0,1.0630051573418101e-10,0.004101001221001221,0
5,2,0.015625,0.0,2.9926497431648535e-10,0.004901196581196581,0
6,1,0.0,0.0,3.6081677599677824e-10,0.005501343101343101,0
7,0,0.0,0.0,1.7100563238526836e-10,0.0040009768009768,0
8,0,0.0,0.0,2.536810050217216e-10,0.004101001221001221,0
9,0,0.0,0.0,1.340652538683674e-10,0.004601123321123321,0
10,0,0.0,0.0,2.71391260728486e-10,0.003900952380952381,0
11,0,0.0,0.0,1.7908431617222823e-10,0.005501343101343101,0
12,0,0.0,0.0,2.6724494582925214e-10,0.005201269841269842,0
13,3,0.025390625,0.005859375,3.0076770952600847e-10,0.0069016849816849815,0
14,0,0.0,0.0,2.9238430072335745e-10,0.004501098901098901,0
15,0,0.0,0.0,1.3105076733739737e-10,0.004301050061050061,0
16,0,0.0,0.0,1.973488973717911e-10,0.004401074481074481,0
17,0,0.0,0.0,5.862475233354354e-10,0.0047011477411477405,0
18,3,0.095703125,0.080078125,3.6604954985363634e-10,0.006301538461538461,0
19,0,0.0,0.0,2.963990806710586e-10,0.004401074481074481,0
20,0,0.0,0.0,3.5101393929805095e-10,0.004701147741147741,0
21,6,0.11328125,0.1573399484396763,5.385127949588228e-10,0.004601123321123321,0
22,0,0.0,0.0,1.4731413275369318e-10,0.003900952380952381,0
23,0,0.0,0.0,1.5460624609119342e-10,0.004501098901098901,0
24,0,0.0,0.0,1.6977797361411144e-10,0.005501343101343101,0
25,1,0.0,0.0,3.6121203600742286e-10,0.005501343101343102,0
26,0,0.0,0.0,2.6246322274252674e-10,0.005001221001221001,0
27,0,0.0,0.0,1.4208623616962672e-10,0.0043010500610500615,0
28,0,0.0,0.0,1.999658200722761e-10,0.0034008302808302806,0
29,0,0.0,0.0,3.2482865485526884e-10,0.00520126984126984,0
30,0,0.0,0.0,1.6602276183320137e-10,0.005701391941391941,0
31,1,0.0,0.0,4.1328310074303665e-10,0.005001221001221002,0
32,5,0.400390625,0.42626925159283496,9.916629855632259e-10,0.012403028083028083,0
33,0,0.0,0.0,2.7489526296903813e-10,0.008602100122100121,0
34,0,0.0,0.0,2.2855380807675905e-10,0.0035008547008547005,0
35,0,0.0,0.0,1.2954694777182184e-10,0.004401074481074481,0
36,0,0.0,0.0,1.484764972173397e-10,0.004301050061050061,0
37,0,0.0,0.0,1.7290769132000815e-10,0.0036008791208791214,0
38,0,0.0,0.0,1.5155576499584054e-10,0.005501343101343101,0
39,0,0.0,0.0,2.867286559594252e-10,0.004000976800976801,0
40,1,0.0,0.0,4.89652797345105e-10,0.003400830280830281,0
41,0,0.0,0.0,2.0403943943893579e-10,0.004601123321123321,0
42,0,0.0,0.0,1.8404107831906593e-10,0.0049011965811965805,0
43,0,0.0,0.0,1.69916089244157e-10,0.0036008791208791205,0
44,0,0.0,0.0,7.647194520477487e-11,0.005201269841269841,0
45,0,0.0,0.0,2.302325263534627e-10,0.004201025641025641,0
46,0,0.0,0.0,2.799543331193972e-10,0.004000976800976801,0
47,0,0.0,0.0,3.3338514423822343e-10,0.0043010500610500615,0
48,0,0.0,0.0,2.5142956097626424e-10,0.005001221001221001,0
49,0,0.0,0.0,2.2919516915768057e-10,0.0034008302808302806,0
50,0,0.0,0.0,1.9764711275700287e-10,0.00610148962148962,0
51,0,0.0,0.0,2.1087707597695004e-10,0.005001221001221002,0
52,2,0.01171875,0.0,3.293386821088286e-10,0.00420102564102564,0
