epoch,spike_count,isi_mean,isi_std,v_var,dvdt_max,label
0,2,0.02734375,0.0,3.5327005446053064e-10,0.009202246642246642,0
1,2,0.01171875,0.0,3.516853222496537e-10,0.006801660561660563,0
2,0,0.0,0.0,3.219924738468694e-10,0.007301782661782661,0
3,7,0.126953125,0.25418404274834133,4.658446805195888e-10,0.007301782661782663,0
4,0,0.0,0.0,1.5284002459053967e-10,0.006501587301587302,0
5,0,0.0,0.0,2.873138774466613e-10,0.006601611721611722,0
6,0,0.0,0.0,2.7141947728028313e-10,0.006201514041514041,0
7,0,0.0,0.0,3.259915224787592e-10,0.007101733821733821,0
8,0,0.0,0.0,2.5478677332071335e-10,0.006401562881562882,0
9,0,0.0,0.0,1.8571025111776027e-10,0.005901440781440782,0
10,1,0.0,0.0,2.763760717071729e-10,0.0071017338217338214,0
11,0,0.0,0.0,1.671503704141639e-10,0.006201514041514041,0
12,1,0.0,0.0,2.5724699201261697e-10,0.006501587301587301,0
13,0,0.0,0.0,2.1702116840051816e-10,0.006601611721611722,0
14,1,0.0,0.0,2.6505732795939983e-10,0.006701636141636141,0
15,0,0.0,0.0,2.0366870381178987e-10,0.0067016361416361424,0
16,0,0.0,0.0,1.7745645372848896e-10,0.006501587301587302,0
17,0,0.0,0.0,2.87001161274284e-10,0.006801660561660561,0
18,1,0.0,0.0,2.606137562410456e-10,0.0069016849816849815,0
19,3,0.130859375,0.123046875,2.733870558962134e-10,0.007101733821733821,0
20,0,0.0,0.0,2.121634972954226e-10,0.006701636141636141,0
21,6,0.165625,0.3058730939611639,4.70562838328406e-10,0.007401807081807081,0
22,0,0.0,0.0,2.0911426944079187e-10,0.006701636141636142,0
23,0,0.0,0.0,2.075922109132388e-10,0.007001709401709401,0
24,0,0.0,0.0,2.661998810865569e-10,0.006601611721611722,0
25,3,0.02734375,0.015625,4.602107694655771e-10,0.006801660561660561,0
26,0,0.0,0.0,2.701130454578829e-10,0.007701880341880341,0
27,1,0.0,0.0,1.8651671152243493e-10,0.006801660561660563,0
28,1,0.0,0.0,2.5249521625437374e-10,0.006601611721611722,0
29,0,0.0,0.0,2.1145829140334633e-10,0.006701636141636141,0
30,1,0.0,0.0,2.365831868579121e-10,0.008101978021978021,0
31,0,0.0,0.0,2.343301465611447e-10,0.008302026862026862,0
32,16,0.09739583333333333,0.21096386152148322,1.0507070601292785e-09,0.01730422466422466,0
33,4,0.013020833333333334,0.0018414239093399675,3.315296677719411e-10,0.006901684981684981,0
34,0,0.0,0.0,2.190482689624173e-10,0.0069016849816849815,0
35,0,0.0,0.0,2.1708603176094018e-10,0.006701636141636141,0
36,1,0.0,0.0,3.3854683104339697e-10,0.006801660561660561,0
37,3,0.205078125,0.193359375,3.4522019579254006e-10,0.006701636141636141,0
38,0,0.0,0.0,2.406359198498049e-10,0.006801660561660561,0
39,0,0.0,0.0,2.734371762073227e-10,0.0069016849816849815,0
