epoch,spike_count,isi_mean,isi_std,v_var,dvdt_max,label
0,0,0.0,0.0,1.168120029898876e-10,0.0029007081807081807,0
1,0,0.0,0.0,8.773065219951667e-11,0.0016003907203907203,0
2,0,0.0,0.0,2.817339908514359e-10,0.0027006593406593412,0
3,0,0.0,0.0,1.8379702250037642e-10,0.0015003663003663,0
4,3,0.16796875,0.109375,9.041067714273413e-10,0.0027006593406593404,0
5,0,0.0,0.0,2.2786668274448726e-10,0.0022005372405372405,0
6,0,0.0,0.0,2.402089607689997e-10,0.0015003663003663006,0
7,0,0.0,0.0,8.487130429094714e-11,0.0014003418803418804,0
8,0,0.0,0.0,8.309611617904886e-11,0.0012002930402930402,0
9,0,0.0,0.0,2.1062926101845513e-10,0.0016003907203907203,0
10,0,0.0,0.0,1.194523639707362e-10,0.0015003663003663003,0
11,0,0.0,0.0,9.949146380007184e-11,0.0020004884004884,0
12,0,0.0,0.0,1.0166772330233868e-10,0.0016003907203907203,0
13,0,0.0,0.0,1.2207305338171867e-10,0.0014003418803418802,0
14,0,0.0,0.0,8.208014618843372e-11,0.0015003663003663003,0
15,0,0.0,0.0,9.386854772042498e-11,0.0016003907203907203,0
16,0,0.0,0.0,4.2898039106887545e-09,0.006001465201465203,0
17,2,0.49609375,0.0,6.525234472487219e-09,0.013203223443223444,0
18,3,0.5625,0.18359375,1.4035409687653273e-09,0.029507203907203905,0
19,6,0.171875,0.31836296968829464,1.6645510449139112e-09,0.016504029304029298,0
20,6,0.28515625,0.4900374666798448,4.565165309905465e-09,0.02560625152625152,0
21,0,0.0,0.0,6.074981945646436e-10,0.005501343101343101,0
22,8,0.21707589285714285,0.385902576809569,8.378803981597021e-10,0.013903394383394383,0
23,1,0.0,0.0,7.137651651445149e-10,0.0045010989010989015,0
24,0,0.0,0.0,1.0772425647883522e-09,0.0037009035409035426,0
25,2,0.4375,0.0,5.118151463412452e-09,0.016704078144078146,0
26,1,0.0,0.0,4.407965349943944e-10,0.013603321123321124,0
27,0,0.0,0.0,5.135092961343534e-10,0.0025006105006105013,0
28,5,0.06640625,0.05211587525049349,6.4438753555197e-10,0.020404981684981685,0
29,18,0.05307904411764706,0.07645338046104205,1.037201318726044e-09,0.017104175824175824,0
30,2,0.62890625,0.0,7.738242872414689e-10,0.012903150183150183,0
31,14,0.036959134615384616,0.04985083727738098,7.714347171999415e-09,0.029307155067155064,0
32,7,0.2591145833333333,0.4012212970274236,9.552519445963241e-10,0.007001709401709403,0
33,19,0.05859375,0.0812211988216182,9.571316612539712e-10,0.029007081807081808,0
34,8,0.26171875,0.4916956513538307,9.63186276832396e-10,0.013303247863247861,0
35,6,0.23671875,0.2424595246505074,2.305934041241962e-09,0.008101978021978023,0
36,0,0.0,0.0,1.7454942909527384e-10,0.004301050061050061,0
37,3,0.28125,0.01171875,3.2882874451555767e-09,0.013103199023199022,0
38,3,0.20703125,0.0078125,1.2620659873636063e-09,0.00370090354090354,0
39,1,0.0,0.0,8.090858531391956e-10,0.003800927960927961,0
40,0,0.0,0.0,1.7119745101086672e-10,0.0018004395604395602,0
41,0,0.0,0.0,3.0242812827519783e-10,0.0016003907203907203,0
42,1,0.0,0.0,5.984973690330832e-10,0.002700659340659341,0
43,1,0.0,0.0,3.9993982056854077e-10,0.0021005128205128206,0
44,0,0.0,0.0,2.511728603546941e-10,0.00160039072039072,0
45,0,0.0,0.0,6.803462783316263e-11,0.0012002930402930402,0
46,0,0.0,0.0,1.2153771751413692e-10,0.0020004884004884006,0
47,1,0.0,0.0,6.79255697423337e-10,0.0027006593406593404,0
48,0,0.0,0.0,3.803074738757545e-10,0.0017004151404151405,0
49,0,0.0,0.0,1.1904616314529317e-10,0.0021005128205128206,0
50,0,0.0,0.0,9.576664543611658e-11,0.0015003663003663001,0
51,0,0.0,0.0,1.219201749020888e-10,0.0015003663003663001,0
52,0,0.0,0.0,3.6621077007123246e-11,0.0014003418803418804,0
53,0,0.0,0.0,1.0277870897290539e-10,0.0021005128205128206,0
54,0,0.0,0.0,1.713144513982998e-10,0.0028006837606837608,0
55,0,0.0,0.0,9.695122405745115e-11,0.00220053724053724,0
56,2,1.80859375,0.0,5.374931135819986e-10,0.0034008302808302806,0
57,4,0.4453125,0.15352440470017029,7.715045462355443e-10,0.0032007814407814406,0
58,1,0.0,0.0,6.023062960391257e-10,0.0021005128205128206,0
59,2,0.01171875,0.0,4.3454949804680805e-10,0.0024005860805860805,0
60,0,0.0,0.0,1.32684838913376e-10,0.0018004395604395607,0
61,0,0.0,0.0,2.595348953464796e-10,0.003500854700854701,0
62,6,0.1953125,0.2721734174026277,7.87524026290195e-09,0.007701880341880345,0
63,0,0.0,0.0,2.955955996249036e-10,0.006801660561660561,0
64,4,0.059895833333333336,0.05434540821538855,7.304930495921797e-10,0.006201514041514041,0
65,6,0.15,0.09840649313244021,1.0856090874534668e-09,0.008402051282051282,0
