epoch,spike_count,isi_mean,isi_std,v_var,dvdt_max,label
0,0,0.0,0.0,1.319723954396573e-10,0.002400586080586,0
1,0,0.0,0.0,1.3020852434771846e-10,0.0020004884004884,0
2,0,0.0,0.0,1.7141723169653568e-10,0.0023005616605616,0
3,0,0.0,0.0,1.4220272757360668e-10,0.0022005372405372,0
4,1,0.0,0.0,2.6870108867018206e-10,0.0021005128205128,0
5,0,0.0,0.0,1.827306450947133e-10,0.0021005128205128,0
6,0,0.0,0.0,1.5159674456978714e-10,0.0022005372405372,0
7,0,0.0,0.0,1.7402322697652368e-10,0.0022005372405372,0
8,0,0.0,0.0,1.5717058451147275e-10,0.0018004395604395,0
9,0,0.0,0.0,2.3814883160693597e-10,0.0021005128205128,0
10,1,0.0,0.0,2.6884625960289876e-10,0.0028006837606837,0
11,3,0.017578125,0.005859375,3.866870328766505e-10,0.0034008302808302,0
12,0,0.0,0.0,1.4448667027078198e-10,0.002400586080586,0
13,0,0.0,0.0,8.181294210512387e-11,0.0020004884004884,0
14,0,0.0,0.0,1.8739162496030623e-10,0.0020004884004884,0
15,0,0.0,0.0,1.6604507266280386e-10,0.0019004639804639,0
16,0,0.0,0.0,9.242874650956152e-11,0.0016003907203907,0
17,0,0.0,0.0,1.3389809997525198e-10,0.0026006349206349,0
18,0,0.0,0.0,1.4728811694385184e-10,0.0019004639804639,0
19,0,0.0,0.0,1.4225122659188588e-10,0.0022005372405372,0
20,0,0.0,0.0,1.4877474754420724e-10,0.0023005616605616,0
21,1,0.0,0.0,2.7745272195964725e-10,0.003100757020757,0
22,0,0.0,0.0,2.1850282505616752e-10,0.0020004884004884,0
23,0,0.0,0.0,1.6554476929934804e-10,0.0026006349206349,0
24,0,0.0,0.0,2.7047936911862036e-10,0.0026006349206349,0
25,0,0.0,0.0,8.529655530714365e-11,0.0023005616605616,0
26,0,0.0,0.0,1.0553631435041689e-10,0.0015003663003663,0
27,1,0.0,0.0,2.154823006070716e-10,0.0028006837606837,0
28,0,0.0,0.0,1.5956805905438e-10,0.0028006837606837,0
29,0,0.0,0.0,1.3855470631025804e-10,0.0022005372405372,0
30,0,0.0,0.0,1.7290498159459926e-10,0.0021005128205128,0
31,0,0.0,0.0,9.773540740945729e-11,0.0020004884004884,0
32,0,0.0,0.0,1.173308912377136e-10,0.0028006837606837,0
33,0,0.0,0.0,9.811918617436015e-11,0.0027006593406593,0
34,0,0.0,0.0,1.7037601635959003e-10,0.0047011477411477,0
35,0,0.0,0.0,1.5955212624168662e-10,0.0046011233211233,0
36,0,0.0,0.0,1.054220731890718e-10,0.0020004884004884,0
37,0,0.0,0.0,2.2836921189141884e-10,0.0026006349206349,0
38,0,0.0,0.0,1.6421156750970166e-10,0.0022005372405372,0
39,0,0.0,0.0,1.8104997008528367e-10,0.0023005616605616,0
40,1,0.0,0.0,2.3094945458870594e-10,0.002400586080586,0
41,1,0.0,0.0,2.5345311088357105e-10,0.0025006105006105,0
42,0,0.0,0.0,1.950623154148795e-10,0.0020004884004884,0
43,0,0.0,0.0,1.0873601436931336e-10,0.0019004639804639,0
44,0,0.0,0.0,1.242618458735675e-10,0.0025006105006105,0
45,0,0.0,0.0,1.0150305900220048e-10,0.0017004151404151,0
46,0,0.0,0.0,1.2164758048600766e-10,0.002400586080586,0
47,0,0.0,0.0,1.606706389272781e-10,0.0021005128205128,0
48,0,0.0,0.0,1.0875375133616891e-10,0.0022005372405372,0
49,0,0.0,0.0,1.0215317413262696e-10,0.0022005372405372,0
50,0,0.0,0.0,8.727489595306674e-11,0.0022005372405372,0
51,0,0.0,0.0,6.790864627546175e-11,0.0018004395604395,0
52,0,0.0,0.0,1.523801644466136e-10,0.0021005128205128,0
53,0,0.0,0.0,1.2926865670112003e-10,0.0018004395604395,0
54,0,0.0,0.0,2.4387285486186576e-10,0.0020004884004884,0
55,0,0.0,0.0,1.3155659905316498e-10,0.0023005616605616,0
56,0,0.0,0.0,9.369269976098043e-11,0.0020004884004884,0
57,0,0.0,0.0,1.1085416182142371e-10,0.0021005128205128,0
58,0,0.0,0.0,2.0211185445989703e-10,0.0026006349206349,0
59,0,0.0,0.0,1.9439053587548317e-10,0.0022005372405372,0
60,0,0.0,0.0,1.6808810953156187e-10,0.0030007326007326,0
61,0,0.0,0.0,9.476614469889424e-11,0.0018004395604395,0
62,0,0.0,0.0,1.1723324736288335e-10,0.0018004395604395,0
63,0,0.0,0.0,1.502423733779617e-10,0.0018004395604395,0
64,0,0.0,0.0,1.3272364744577422e-10,0.0020004884004884,0
65,0,0.0,0.0,9.73480774076012e-11,0.0026006349206349,0
66,0,0.0,0.0,1.24174780585037e-10,0.0039009523809523,0
67,0,0.0,0.0,7.469154438018907e-11,0.003100757020757,0
68,0,0.0,0.0,1.1123798135159168e-10,0.0019004639804639,0
69,0,0.0,0.0,8.598603337757412e-11,0.0022005372405372,0
70,0,0.0,0.0,1.9913411723307554e-10,0.0026006349206349,0
71,0,0.0,0.0,1.652068229220244e-10,0.0022005372405372,0
72,0,0.0,0.0,9.12479608049663e-11,0.0016003907203907,0
73,0,0.0,0.0,9.860724831106012e-11,0.0034008302808302,0
74,0,0.0,0.0,1.2824688814272147e-10,0.0021005128205128,0
75,0,0.0,0.0,1.278920136978745e-10,0.002400586080586,0
76,0,0.0,0.0,1.4767496766266224e-10,0.002400586080586,0
77,0,0.0,0.0,8.142079481365194e-11,0.0018004395604395,0
78,0,0.0,0.0,2.5196746156138325e-10,0.0035008547008547,0
79,0,0.0,0.0,1.5772745200973223e-10,0.0019004639804639,0
80,0,0.0,0.0,5.7809529376894285e-11,0.0017004151404151,0
81,0,0.0,0.0,1.4665497414037934e-10,0.0033008058608058,0
82,0,0.0,0.0,9.020303932305991e-11,0.0027006593406593,0
83,0,0.0,0.0,1.4235357710775519e-10,0.0019004639804639,0
84,0,0.0,0.0,2.1800283034400479e-10,0.0032007814407814,0
85,0,0.0,0.0,1.060175395697946e-10,0.0021005128205128,0
86,0,0.0,0.0,1.7067658972420876e-10,0.0022005372405372,0
87,0,0.0,0.0,2.2607729259658057e-10,0.0023005616605616,0
88,0,0.0,0.0,2.8482156833805184e-10,0.002400586080586,0
89,0,0.0,0.0,1.1202272901133935e-10,0.0017004151404151,0
90,0,0.0,0.0,2.0546638852642743e-10,0.0019004639804639,0
91,0,0.0,0.0,1.5066275876858518e-10,0.0022005372405372,0
92,0,0.0,0.0,1.748944855171961e-10,0.002400586080586,0
93,0,0.0,0.0,1.9448041979091655e-10,0.002400586080586,0
94,0,0.0,0.0,2.6030905335506975e-10,0.0019004639804639,0
95,0,0.0,0.0,1.308188426792479e-10,0.0018004395604395,0
96,0,0.0,0.0,2.0002759400796257e-10,0.0019004639804639,0
97,0,0.0,0.0,2.1583626132761887e-10,0.002400586080586,0
98,0,0.0,0.0,1.2683203993300148e-10,0.0017004151404151,0
99,0,0.0,0.0,1.9728018751742422e-10,0.0018004395604395,0
100,0,0.0,0.0,1.9150580867756918e-10,0.002400586080586,0
101,1,0.0,0.0,1.6998417597232843e-10,0.0087021245421245,0
102,1,0.0,0.0,3.1122485260677795e-10,0.0128031257631257,0
103,0,0.0,0.0,2.0434028476610888e-10,0.0032007814407814,0
104,0,0.0,0.0,1.6867507344270163e-10,0.0022005372405372,0
105,0,0.0,0.0,1.5479299759433688e-10,0.0022005372405372,0
106,0,0.0,0.0,1.3088758281638318e-10,0.0021005128205128,0
107,0,0.0,0.0,1.8041966279718108e-10,0.002400586080586,0
108,0,0.0,0.0,1.1513489901768288e-10,0.0022005372405372,0
109,0,0.0,0.0,2.0027221879328104e-10,0.0019004639804639,0
110,0,0.0,0.0,1.5516964127312112e-10,0.0022005372405372,0
111,1,0.0,0.0,3.2274929089403675e-10,0.0025006105006105,0
112,0,0.0,0.0,1.8355421817532622e-10,0.0021005128205128,0
113,1,0.0,0.0,3.3126141369187383e-10,0.0021005128205128,0
114,0,0.0,0.0,2.2855891421739634e-10,0.002400586080586,0
115,0,0.0,0.0,2.6899538127216697e-10,0.0032007814407814,0
116,1,0.0,0.0,3.8772533873838815e-10,0.0029007081807081,0
117,0,0.0,0.0,2.7461429769694417e-10,0.0029007081807081,0
118,0,0.0,0.0,8.688754265677343e-11,0.0020004884004884,0
119,0,0.0,0.0,1.5664834419413174e-10,0.0022005372405372,0
120,0,0.0,0.0,3.0868713798115123e-10,0.0022005372405372,0
121,0,0.0,0.0,1.6503073968876395e-10,0.0021005128205128,0
122,0,0.0,0.0,4.3547487247693287e-10,0.0027006593406593,0
123,1,0.0,0.0,3.7042922551307397e-10,0.0025006105006105,0
124,1,0.0,0.0,3.5956484908093187e-10,0.0023005616605616,0
125,1,0.0,0.0,2.6457311581081036e-10,0.0111027106227106,0
126,0,0.0,0.0,1.1329487083979983e-10,0.0029007081807081,0
127,0,0.0,0.0,1.1589042555302855e-10,0.0023005616605616,0
128,0,0.0,0.0,1.1968588429783484e-10,0.0019004639804639,0
129,0,0.0,0.0,1.3668205776722259e-10,0.0025006105006105,0
130,0,0.0,0.0,1.7549036653890132e-10,0.0030007326007326,0
131,0,0.0,0.0,2.2765034788844314e-10,0.0058014163614163,0
132,0,0.0,0.0,1.3084000858726134e-10,0.0028006837606837,0
133,0,0.0,0.0,1.9948890141197832e-10,0.0025006105006105,0
134,0,0.0,0.0,1.5850474312012772e-10,0.003100757020757,0
135,1,0.0,0.0,2.7871046607882686e-10,0.0041010012210012,0
136,0,0.0,0.0,2.0682448216931959e-10,0.0023005616605616,0
137,1,0.0,0.0,4.1428756794055556e-10,0.0036008791208791,0
138,0,0.0,0.0,8.07278452897157e-11,0.0020004884004884,0
139,0,0.0,0.0,1.413629299174743e-10,0.0020004884004884,0
140,0,0.0,0.0,1.9373948954992904e-10,0.0019004639804639,0
141,0,0.0,0.0,9.393554252185204e-11,0.0055013431013431,0
142,0,0.0,0.0,7.561649135739108e-11,0.0016003907203907,0
143,0,0.0,0.0,1.6141886731544468e-10,0.002400586080586,0
144,0,0.0,0.0,1.5342268368968229e-10,0.0022005372405372,0
145,0,0.0,0.0,1.196958729525121e-10,0.0021005128205128,0
146,0,0.0,0.0,1.4187608307485824e-10,0.0021005128205128,0
147,0,0.0,0.0,1.0493789656449911e-10,0.0022005372405372,0
148,2,0.0234375,0.0,3.093283575483667e-10,0.0083020268620268,0
149,0,0.0,0.0,1.890248445422438e-10,0.0075018315018315,0
150,0,0.0,0.0,1.8217883248932927e-10,0.0022005372405372,0
151,0,0.0,0.0,1.2408500324165386e-10,0.0023005616605616,0
152,0,0.0,0.0,1.180755555769864e-10,0.0020004884004884,0
153,2,0.02734375,0.0,1.7917525765511111e-10,0.0023005616605616,0
154,0,0.0,0.0,2.6290220582946083e-10,0.0019004639804639,0
155,0,0.0,0.0,1.6530266963102354e-10,0.0019004639804639,0
156,0,0.0,0.0,1.8761492543543822e-10,0.0022005372405372,0
157,0,0.0,0.0,1.4353166589888202e-10,0.0020004884004884,0
158,4,0.0846354166666666,0.0975954671950182,3.5266260775074867e-10,0.0117028571428571,0
159,0,0.0,0.0,1.3742704182264622e-10,0.0035008547008547,0
160,0,0.0,0.0,8.569054344151642e-11,0.0023005616605616,0
161,0,0.0,0.0,1.2274110814060445e-10,0.0020004884004884,0
162,0,0.0,0.0,1.2565311021269124e-10,0.0018004395604395,0
163,0,0.0,0.0,1.2164031728048438e-10,0.0020004884004884,0
164,0,0.0,0.0,1.3834075913402835e-10,0.0022005372405372,0
165,0,0.0,0.0,1.2820497679128628e-10,0.0022005372405372,0
166,0,0.0,0.0,1.2687482890235866e-10,0.0018004395604395,0
167,0,0.0,0.0,2.7071707487372547e-10,0.0032007814407814,0
168,1,0.0,0.0,2.739058177717175e-10,0.0023005616605616,0
169,1,0.0,0.0,3.4212701832321794e-10,0.0032007814407814,0
170,0,0.0,0.0,1.1839498112964228e-10,0.0029007081807081,0
171,0,0.0,0.0,1.313101409956378e-10,0.0030007326007326,0
172,0,0.0,0.0,1.6701539778605938e-10,0.0034008302808302,0
173,0,0.0,0.0,1.634442860189769e-10,0.0041010012210012,0
174,0,0.0,0.0,1.8656984380427603e-10,0.0039009523809523,0
175,0,0.0,0.0,3.0350116323101667e-10,0.0020004884004884,0
176,0,0.0,0.0,2.3264149262460847e-10,0.0029007081807081,0
177,0,0.0,0.0,9.968610047021215e-11,0.0019004639804639,0
178,2,0.15625,0.0,5.147142614647764e-10,0.002400586080586,0
179,0,0.0,0.0,2.0733319540697052e-10,0.002400586080586,0
180,1,0.0,0.0,3.3764898132028394e-10,0.0019004639804639,0
181,1,0.0,0.0,2.712903369968961e-10,0.0019004639804639,0
182,0,0.0,0.0,1.6596310012060926e-10,0.0035008547008547,0
183,0,0.0,0.0,2.3505370905210645e-10,0.0022005372405372,0
184,0,0.0,0.0,1.527913421285674e-10,0.0019004639804639,0
185,0,0.0,0.0,1.2218776276125177e-10,0.0019004639804639,0
186,0,0.0,0.0,1.4931100412441987e-10,0.0025006105006105,0
187,0,0.0,0.0,1.5667933278395732e-10,0.0021005128205128,0
188,0,0.0,0.0,2.989122796486005e-10,0.0021005128205128,0
189,0,0.0,0.0,3.5117775218650903e-10,0.0025006105006105,0
190,1,0.0,0.0,3.387084758021113e-10,0.0026006349206349,0
191,0,0.0,0.0,1.6852934344349175e-10,0.0022005372405372,0
192,1,0.0,0.0,1.619819218162281e-10,0.002400586080586,0
193,0,0.0,0.0,2.0409609151023982e-10,0.0025006105006105,0
194,0,0.0,0.0,1.4630900574124016e-10,0.0020004884004884,0
195,0,0.0,0.0,1.527488344395395e-10,0.0021005128205128,0
196,0,0.0,0.0,1.3667199457034618e-10,0.0021005128205128,0
197,0,0.0,0.0,6.126757518698909e-11,0.0019004639804639,0
198,0,0.0,0.0,1.5130482392387152e-10,0.0020004884004884,0
199,0,0.0,0.0,1.891927019273631e-10,0.0021005128205128,0
200,0,0.0,0.0,1.7617727290346335e-10,0.0022005372405372,0
201,0,0.0,0.0,2.0498930913451287e-10,0.0023005616605616,0
202,0,0.0,0.0,9.488239325836624e-11,0.0022005372405372,0
203,0,0.0,0.0,1.1438644816764092e-10,0.0022005372405372,0
204,0,0.0,0.0,1.4535188390499748e-10,0.0021005128205128,0
205,0,0.0,0.0,1.2703475744341128e-10,0.0021005128205128,0
206,0,0.0,0.0,2.1531669812347468e-10,0.0022005372405372,0
207,0,0.0,0.0,1.2051800061329592e-10,0.0028006837606837,0
208,4,0.0221354166666666,0.0150727043005081,5.482560939878362e-10,0.0023005616605616,0
209,0,0.0,0.0,1.236813275332048e-10,0.0029007081807081,0
210,0,0.0,0.0,2.0120183455806164e-10,0.0021005128205128,0
211,0,0.0,0.0,1.4464572643516094e-10,0.002400586080586,0
212,2,0.125,0.0,3.156490346179563e-10,0.0023005616605616,0
213,0,0.0,0.0,1.0093482381858068e-10,0.002400586080586,0
214,0,0.0,0.0,1.8834687159435327e-10,0.0025006105006105,0
215,0,0.0,0.0,2.373358743837224e-10,0.002400586080586,0
216,0,0.0,0.0,1.212547990034826e-10,0.0022005372405372,0
217,0,0.0,0.0,3.115567896016614e-10,0.0026006349206349,0
218,1,0.0,0.0,1.5819967917037512e-10,0.0030007326007325,0
219,0,0.0,0.0,1.5828853347168364e-10,0.002400586080586,0
220,0,0.0,0.0,1.9337657561243866e-10,0.0019004639804639,0
221,0,0.0,0.0,2.1276494102873447e-10,0.0019004639804639,0
222,0,0.0,0.0,2.0634805036275958e-10,0.002400586080586,0
223,0,0.0,0.0,2.307563722398887e-10,0.0028006837606837,0
224,2,0.01171875,0.0,1.7429329336380616e-10,0.0045010989010989,0
225,0,0.0,0.0,2.394541330667704e-10,0.0040009768009768,0
226,0,0.0,0.0,1.1255318527668571e-10,0.0016003907203907,0
227,0,0.0,0.0,1.9556091362553127e-10,0.0055013431013431,0
228,0,0.0,0.0,9.667821325330481e-11,0.0019004639804639,0
229,0,0.0,0.0,1.1277121189123249e-10,0.0021005128205128,0
230,1,0.0,0.0,2.483442727504655e-10,0.0052012698412698,0
